Geographic area,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure
Afghanistan,Youth population from 15 to 24,Female,2005,2240.202,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Female,2006,2361.851,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Female,2007,2397.155,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Female,2008,2461.427,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Female,2009,2610.166,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Female,2010,2736.472,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Female,2011,2905.47,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Female,2012,3093.584,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Female,2013,3248.88,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Female,2014,3413.903,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Female,2015,3548.851,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Female,2016,3654.025,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Female,2017,3777.059,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Female,2018,3900.157,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Female,2019,4021.246,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Female,2020,4153.475,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Female,2021,4269.265,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Female,2022,4367.59,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Female,2023,4461.194,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Male,2005,2328.345,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Male,2006,2452.747,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Male,2007,2497.84,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Male,2008,2571.385,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Male,2009,2725.019,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Male,2010,2858.826,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Male,2011,3032.7,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Male,2012,3224.798,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Male,2013,3387.079,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Male,2014,3558.924,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Male,2015,3702.727,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Male,2016,3818.61,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Male,2017,3948.664,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Male,2018,4075.644,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Male,2019,4200.722,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Male,2020,4337.299,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Male,2021,4457.894,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Male,2022,4561.443,Thousands,Persons
Afghanistan,Youth population from 15 to 24,Male,2023,4659.58,Thousands,Persons
Armenia,Youth population from 15 to 24,Female,2005,301.793,Thousands,Persons
Armenia,Youth population from 15 to 24,Female,2006,306.755,Thousands,Persons
Armenia,Youth population from 15 to 24,Female,2007,310.115,Thousands,Persons
Armenia,Youth population from 15 to 24,Female,2008,309.248,Thousands,Persons
Armenia,Youth population from 15 to 24,Female,2009,303.058,Thousands,Persons
Armenia,Youth population from 15 to 24,Female,2010,293.072,Thousands,Persons
Armenia,Youth population from 15 to 24,Female,2011,281.461,Thousands,Persons
Armenia,Youth population from 15 to 24,Female,2012,269.224,Thousands,Persons
Armenia,Youth population from 15 to 24,Female,2013,255.838,Thousands,Persons
Armenia,Youth population from 15 to 24,Female,2014,241.278,Thousands,Persons
Armenia,Youth population from 15 to 24,Female,2015,224.911,Thousands,Persons
Armenia,Youth population from 15 to 24,Female,2016,207.811,Thousands,Persons
Armenia,Youth population from 15 to 24,Female,2017,191.8,Thousands,Persons
Armenia,Youth population from 15 to 24,Female,2018,178.824,Thousands,Persons
Armenia,Youth population from 15 to 24,Female,2019,169.792,Thousands,Persons
Armenia,Youth population from 15 to 24,Female,2020,163.988,Thousands,Persons
Armenia,Youth population from 15 to 24,Female,2021,159.537,Thousands,Persons
Armenia,Youth population from 15 to 24,Female,2022,155.922,Thousands,Persons
Armenia,Youth population from 15 to 24,Female,2023,154.339,Thousands,Persons
Armenia,Youth population from 15 to 24,Male,2005,281.596,Thousands,Persons
Armenia,Youth population from 15 to 24,Male,2006,285.961,Thousands,Persons
Armenia,Youth population from 15 to 24,Male,2007,289.406,Thousands,Persons
Armenia,Youth population from 15 to 24,Male,2008,289.606,Thousands,Persons
Armenia,Youth population from 15 to 24,Male,2009,284.759,Thousands,Persons
Armenia,Youth population from 15 to 24,Male,2010,276.697,Thousands,Persons
Armenia,Youth population from 15 to 24,Male,2011,267.776,Thousands,Persons
Armenia,Youth population from 15 to 24,Male,2012,257.853,Thousands,Persons
Armenia,Youth population from 15 to 24,Male,2013,246.479,Thousands,Persons
Armenia,Youth population from 15 to 24,Male,2014,234.228,Thousands,Persons
Armenia,Youth population from 15 to 24,Male,2015,220.3,Thousands,Persons
Armenia,Youth population from 15 to 24,Male,2016,205.677,Thousands,Persons
Armenia,Youth population from 15 to 24,Male,2017,191.903,Thousands,Persons
Armenia,Youth population from 15 to 24,Male,2018,180.684,Thousands,Persons
Armenia,Youth population from 15 to 24,Male,2019,172.998,Thousands,Persons
Armenia,Youth population from 15 to 24,Male,2020,168.694,Thousands,Persons
Armenia,Youth population from 15 to 24,Male,2021,165.766,Thousands,Persons
Armenia,Youth population from 15 to 24,Male,2022,163.77,Thousands,Persons
Armenia,Youth population from 15 to 24,Male,2023,164.12,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Female,2005,885.558,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Female,2006,910.86,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Female,2007,930.212,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Female,2008,942.278,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Female,2009,943.068,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Female,2010,932.715,Thousands,Persons
